"bfi_1"	"bfi_2"	"bfi_3"	"bfi_4"	"bfi_5"	"bfi_6"	"bfi_7"	"bfi_8"	"bfi_9"	"bfi_10"	"bfi_11"	"bfi_12"	"bfi_13"	"bfi_14"	"bfi_15"	"bfi_16"	"bfi_17"	"bfi_18"	"bfi_19"	"bfi_20"	"bfi_21"	"bfi_22"	"bfi_23"	"bfi_24"	"bfi_25"	"bfi_26"	"bfi_27"	"bfi_28"	"bfi_29"	"bfi_30"	"bfi_31"	"bfi_32"	"bfi_33"	"bfi_34"	"bfi_35"	"bfi_36"	"bfi_37"	"bfi_38"	"bfi_39"	"bfi_40"	"bfi_41"	"bfi_42"	"bfi_43"	"bfi_44"	"AgainstAbortion"	"AgainstGayMarriage"	"AgainstUniversalHealthcare"	"AgainstTaxingTheRich"	"ConservativeIdeology"	"PoliticalInterest"	"Vote"	"YearOfBirth"	"Gender"	"Race"	"EducationLevel"	"IncomeLevel"	"State"
1	4	3	3	4	4	4	4	2	5	2	2	4	4	4	2	4	3	5	4	4	4	5	4	1	1	3	3	4	4	5	4	4	3	4	1	2	3	2	4	4	4	2	1	3	2	1	1	3	1	1	1972	1	1	2	4	17
3	3	5	3	5	5	4	1	4	5	3	1	5	3	4	3	4	1	1	4	5	4	3	4	4	3	3	5	4	4	5	5	5	4	4	3	3	5	3	4	2	4	4	3	3	4	2	1	4	2	2	1960	2	1	5	6	41
2	1	5	1	3	4	5	1	4	4	3	1	5	2	4	4	5	1	2	2	3	5	1	4	3	3	1	4	2	4	4	5	5	4	1	4	1	5	2	2	4	5	1	4	1	1	1	1	3	1	1	1940	2	1	3	3	9
1	2	5	1	5	4	4	4	4	4	2	1	5	2	5	4	5	4	3	5	4	5	4	5	4	4	4	5	2	5	4	5	5	4	2	4	1	5	1	5	3	5	2	3	2	4	1	1	3	2	1	1956	2	1	3	5	17
2	4	5	4	4	5	2	4	3	5	4	2	5	4	2	2	4	3	4	4	4	5	4	2	4	2	5	4	5	5	5	5	5	4	3	3	3	3	4	4	1	4	4	5	2	1	1	2	1	2	1	1960	2	4	5	9	5
2	2	5	4	3	2	5	2	4	4	2	1	5	4	4	4	5	2	2	4	4	4	1	4	4	2	1	4	2	4	2	5	5	5	4	4	1	4	2	4	4	4	2	2	3	4	2	1	4	2	2	1955	2	1	2	2	41
2	3	5	1	4	3	4	1	4	5	4	1	5	1	3	2	2	2	1	4	4	4	1	4	4	4	3	5	1	4	1	4	4	4	1	3	3	4	1	4	3	4	1	1	2	1	1	2	4	2	1	1962	1	3	4	12	42
4	2	4	1	4	4	4	2	4	4	4	1	5	3	5	4	5	2	2	1	1	5	3	5	4	4	1	5	4	5	1	5	4	4	4	4	3	4	1	4	1	5	1	4	3	4	1	1	4	1	1	1967	2	2	3	5	39
4	3	5	1	4	2	4	3	3	4	5	2	5	3	4	5	5	1	3	5	3	5	1	4	4	4	1	5	3	5	2	5	5	4	2	4	2	5	1	4	1	4	2	5	1	3	3	3	2	2	1	1940	2	2	5	6	22
3	3	5	1	5	3	5	1	4	5	4	1	5	2	5	3	4	1	2	3	2	5	1	5	5	5	1	5	1	3	2	5	5	5	1	5	1	4	3	5	1	5	1	3	2	2	1	2	3	3	1	1964	1	2	3	6	34
4	2	5	3	4	2	5	4	5	5	4	1	5	2	4	4	3	2	2	4	3	4	1	4	4	4	1	5	4	4	1	4	4	4	2	5	1	4	1	4	3	4	1	1	2	1	3	2	3	1	2	1948	1	1	5	1	9
1	1	5	1	5	5	5	1	5	5	5	1	5	1	5	5	5	1	1	5	5	5	1	5	5	5	1	5	1	5	1	5	5	5	5	5	1	5	1	5	1	5	1	5	4	1	1	1	1	1	4	1979	1	3	3	1	32
4	3	4	1	3	3	4	4	4	4	3	1	4	4	3	4	4	4	3	4	4	3	2	4	4	3	2	4	3	4	3	4	4	4	3	4	2	3	3	3	2	4	3	4	2	2	3	2	2	2	1	1958	1	4	4	6	11
2	3	5	1	3	4	4	3	4	4	2	1	5	3	4	2	3	2	1	5	4	5	3	5	3	2	1	4	3	5	3	4	4	4	2	3	1	4	2	4	3	5	2	3	4	4	3	3	3	1	1	1956	2	2	5	7	18
3	2	5	2	4	4	4	2	3	4	3	1	5	4	5	3	4	1	4	4	4	4	1	4	4	4	2	5	2	4	4	4	4	4	3	3	1	5	2	5	2	4	2	3	2	2	3	2	3	1	1	1951	2	3	6	10	6
5	4	2	3	5	1	4	4	3	5	3	2	1	4	5	3	5	5	5	5	2	4	5	2	4	2	4	1	4	5	5	5	3	4	2	4	4	2	4	5	1	4	5	5	1	1	1	2	1	1	1	1984	1	1	5	1	32
3	3	5	1	5	4	5	1	5	5	5	1	5	3	4	4	4	1	1	5	3	5	1	5	5	4	3	5	1	4	3	5	5	5	1	4	1	5	1	4	3	5	1	3	1	1	3	4	3	1	2	1939	2	1	3	13	5
2	4	4	4	2	4	4	4	4	5	2	1	5	4	2	4	4	4	4	4	5	4	5	4	2	1	2	4	2	4	4	4	4	5	5	2	2	2	3	4	2	2	4	2	1	1	1	2	2	1	1	1983	1	1	3	11	48
5	2	5	3	4	3	5	2	4	5	5	1	5	3	4	5	5	3	1	4	1	5	1	4	3	5	2	5	3	5	2	5	4	3	2	5	3	5	2	4	3	4	1	4	4	4	3	4	5	1	2	1971	2	1	5	14	9
5	4	5	1	5	2	5	3	4	5	5	2	5	4	5	5	5	4	3	5	1	4	3	5	5	3	1	2	1	5	4	5	5	5	1	5	4	5	3	5	1	4	3	5	1	1	1	1	1	1	1	1972	1	1	3	13	37
4	3	5	2	5	3	4	3	4	5	3	1	5	1	3	4	5	2	3	5	2	5	3	5	5	5	3	5	3	5	3	5	5	4	1	5	2	5	2	5	1	4	4	4	3	1	3	4	4	1	2	1949	1	1	3	13	42
3	4	4	4	4	2	4	4	1	5	3	4	5	4	5	4	3	2	4	5	3	4	2	2	5	5	5	4	5	5	3	4	5	2	3	4	3	4	3	4	2	4	4	4	2	1	2	2	2	1	1	1973	1	4	3	6	5
2	3	4	3	3	4	3	2	3	5	3	2	4	4	4	3	4	4	3	4	3	4	3	3	3	2	3	2	3	4	4	4	3	4	4	4	2	3	3	4	2	3	4	3	3	2	3	4	5	1	2	1978	1	3	3	7	42
2	1	5	3	5	5	4	2	4	5	2	1	4	2	5	2	4	5	1	4	4	4	3	5	5	2	4	4	2	5	5	4	5	4	1	2	3	4	3	5	1	3	4	5	2	1	3	2	3	1	1	1974	1	1	3	12	5
5	2	4	2	4	2	2	2	3	4	4	1	5	2	4	4	4	3	2	4	2	4	3	4	4	5	2	4	2	4	2	4	4	4	3	5	2	4	2	4	2	4	2	3	2	1	2	2	3	1	1	1982	1	1	3	5	43
5	3	4	3	4	1	4	4	4	4	4	3	4	3	4	4	4	4	3	4	2	4	3	4	4	4	4	4	4	4	1	4	4	5	3	5	4	5	2	5	1	4	2	4	2	3	3	4	4	1	4	1948	1	1	4	13	9
4	4	2	1	4	1	5	2	4	4	4	2	4	2	2	4	5	2	2	3	2	4	1	4	2	3	2	4	3	2	2	4	4	4	2	5	1	4	2	4	3	4	3	2	2	3	2	1	3	2	1	1966	1	1	3	8	37
4	2	3	2	4	5	3	3	2	5	3	1	5	2	5	3	3	2	2	5	4	2	1	4	5	3	4	4	3	5	3	4	4	3	2	4	1	5	3	5	1	4	2	5	1	1	1	1	1	1	1	1948	1	2	6	8	23
2	2	5	2	2	4	4	2	4	5	4	1	5	4	4	4	4	1	4	4	4	4	2	4	3	2	2	4	3	4	4	4	5	4	2	2	4	4	3	4	3	4	2	3	2	1	1	1	1	1	1	1978	2	1	6	13	45
4	3	4	3	4	2	5	2	2	5	1	1	4	4	5	4	3	3	4	4	3	4	4	3	4	3	3	5	3	4	5	5	4	4	3	3	2	5	4	5	1	4	3	4	2	1	1	1	3	2	1	1955	2	1	3	5	21
4	1	4	1	4	3	5	1	4	4	4	1	3	1	3	3	4	1	1	3	3	2	1	4	3	4	1	4	1	3	3	4	4	4	1	4	1	4	1	3	3	3	1	3	3	3	3	3	4	1	3	1962	1	1	3	7	29
4	3	4	5	4	3	3	2	1	2	1	2	5	5	5	2	2	4	5	2	2	2	2	2	2	2	4	2	4	4	3	3	4	2	2	3	3	3	4	3	2	4	4	4	3	3	3	3	3	2	2	1979	2	1	5	10	4
4	3	4	2	3	4	4	2	3	4	3	1	4	4	4	3	4	1	4	3	4	4	2	4	3	2	1	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	2	3	1	1	1	1	2	1	1	1956	2	1	3	8	32
4	4	5	5	2	3	3	4	4	5	2	3	4	4	5	3	4	1	5	5	2	4	3	1	3	3	2	4	4	5	5	5	5	4	4	4	1	4	5	5	2	3	3	2	2	1	2	2	2	2	1	1982	2	1	3	6	48
4	1	4	1	4	3	4	2	4	4	4	1	5	2	4	4	4	1	2	3	2	2	1	4	4	4	1	4	2	5	2	5	4	4	2	4	1	4	1	4	4	4	1	4	2	2	1	2	3	2	1	1956	2	1	6	7	32
4	4	5	2	5	4	3	1	5	5	4	1	5	4	5	5	5	1	3	5	5	5	4	4	5	4	4	5	4	5	4	4	5	4	1	4	4	5	4	5	1	4	1	5	4	2	2	3	5	1	2	1971	1	1	3	6	32
5	1	4	3	5	1	5	1	3	5	4	1	5	4	4	4	5	2	2	4	2	5	1	5	4	2	1	3	3	5	1	5	3	3	1	4	1	4	2	4	3	4	2	3	3	4	3	1	4	1	2	1946	2	4	6	8	45
2	4	5	3	5	4	4	3	5	5	4	1	5	4	5	3	4	1	1	4	4	3	1	3	5	5	5	5	5	5	4	3	4	3	5	2	5	4	4	4	3	2	3	1	2	4	3	2	4	2	1	1951	1	1	3	11	6
3	3	5	3	4	4	4	1	4	5	4	1	5	1	5	3	3	1	4	5	4	1	1	4	5	1	4	5	3	3	4	5	5	4	3	3	1	5	5	5	5	4	1	3	2	4	3	4	5	1	2	1956	2	1	5	12	22
2	4	5	2	4	4	4	1	5	5	3	1	5	3	4	2	4	1	4	5	4	5	2	4	3	3	3	5	2	4	4	5	5	4	4	4	2	5	3	4	3	4	2	1	2	1	3	2	3	2	2	1979	2	1	2	6	27
3	2	4	2	4	4	4	1	4	5	4	1	5	1	5	4	4	2	2	3	4	2	1	5	4	4	4	4	4	5	4	5	5	5	1	3	1	5	1	5	2	3	4	4	3	4	2	1	3	1	1	1954	2	2	6	11	34
5	4	5	4	5	4	5	5	2	5	4	2	5	5	5	4	1	4	5	5	2	2	4	2	5	4	4	2	4	5	2	4	5	2	2	4	4	4	5	5	5	4	5	4	1	3	3	2	4	1	2	1963	2	1	5	6	23
4	4	3	3	4	5	5	4	2	5	5	1	5	4	4	3	4	4	5	5	4	4	3	4	4	2	4	4	4	4	4	4	4	3	4	3	1	3	4	4	4	5	5	5	2	3	3	2	4	2	2	1962	2	1	3	8	17
3	4	5	2	1	3	5	4	1	3	4	1	5	4	2	2	3	1	2	1	4	4	1	2	1	3	2	4	2	1	3	5	5	3	4	4	1	4	4	2	3	4	3	1	3	4	2	3	5	1	2	1935	1	1	2	7	9
2	2	5	1	4	5	5	2	4	5	4	1	5	4	5	5	5	4	3	3	4	4	1	5	4	4	2	4	2	4	5	5	4	4	2	3	1	4	3	5	3	5	2	3	3	4	2	2	3	1	1	1965	2	2	4	11	10
4	2	5	1	4	3	5	2	5	5	5	1	5	2	4	5	5	2	3	5	2	5	3	5	5	4	1	5	5	5	4	5	5	5	1	4	3	3	3	5	1	4	3	4	1	1	3	4	3	1	3	1967	2	1	3	9	18
1	2	5	1	4	4	4	4	5	5	4	1	5	4	4	2	4	4	1	4	4	4	1	5	4	4	4	4	1	5	4	4	4	4	1	2	1	4	4	4	1	4	4	5	2	2	3	4	4	1	2	1949	1	1	5	13	19
4	2	5	1	3	2	4	4	3	4	3	1	5	4	3	3	4	4	4	3	2	4	2	4	3	3	3	4	4	4	1	4	3	4	3	4	4	4	2	4	2	3	2	3	1	1	2	4	4	2	1	1962	2	1	3	11	6
2	2	3	4	2	5	4	4	3	4	4	1	3	4	3	2	4	4	4	4	5	4	2	4	3	2	3	3	4	4	5	4	2	4	4	2	2	2	3	4	4	4	4	4	2	1	1	2	2	1	1	1957	1	2	6	8	32
5	3	4	3	4	3	3	3	4	5	4	3	4	4	5	4	4	4	4	5	1	3	2	4	5	4	3	4	4	2	2	3	4	4	2	4	3	4	3	5	4	4	3	3	3	3	3	3	5	1	2	1976	1	1	3	7	41
4	2	3	1	5	2	4	3	4	5	5	1	5	2	4	4	5	4	2	5	2	5	3	5	4	4	3	4	4	4	2	5	3	4	1	5	2	4	2	5	1	4	2	4	2	1	1	1	1	1	1	1962	1	1	5	12	6
1	2	4	3	2	4	5	4	4	2	2	1	5	3	2	2	5	4	3	2	5	4	4	3	2	2	2	4	3	1	5	5	4	4	4	1	2	2	3	2	4	4	5	2	4	4	3	4	5	1	2	1980	1	1	2	7	48
2	3	5	1	4	3	5	4	5	5	4	1	5	3	4	4	5	3	2	4	3	4	2	5	5	3	4	5	3	5	3	5	5	5	2	4	1	4	3	4	5	4	3	4	3	4	3	4	4	1	2	1948	1	1	5	14	45
5	1	5	1	5	4	5	2	5	5	5	1	5	1	3	4	5	4	4	2	4	5	1	5	5	2	1	5	1	4	4	5	4	4	2	5	1	5	2	3	4	5	2	5	2	1	3	3	4	1	2	1954	2	1	3	11	32
2	3	5	4	3	3	4	2	3	4	3	1	5	3	5	3	3	1	2	4	4	4	2	4	3	3	3	4	4	5	4	4	5	4	4	1	3	4	2	2	4	3	2	4	2	1	1	1	1	2	1	1983	2	1	5	9	37
3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	2	3	3	3	3	2	1	2	1	2	2	1985	2	4	6	12	5
5	1	5	1	5	3	5	3	5	5	5	1	5	1	5	5	5	2	1	5	3	4	1	5	5	5	3	5	1	5	2	5	5	5	2	5	1	5	1	5	2	5	1	5	3	3	3	3	3	1	2	1929	2	1	3	7	36
2	3	3	3	4	5	5	4	4	4	4	3	5	3	4	3	4	4	2	5	5	5	3	5	4	3	5	3	3	3	5	5	4	5	5	2	3	3	3	5	4	3	4	4	2	1	3	4	4	1	2	1961	1	4	2	11	9
3	2	5	3	3	4	5	4	3	3	2	2	5	3	3	3	4	4	4	3	3	4	4	4	3	3	3	3	3	3	4	4	3	3	5	2	2	3	3	3	4	5	3	2	3	2	2	3	4	1	2	1941	2	1	5	5	34
5	1	5	4	4	4	5	1	4	5	2	1	5	4	4	3	5	1	4	4	2	3	1	5	4	1	1	5	3	4	1	5	5	5	5	4	1	5	3	4	2	5	1	3	3	2	3	1	5	2	1	1963	2	1	4	9	9
2	4	5	2	4	5	5	2	2	5	2	2	5	4	5	2	2	2	4	5	5	4	2	2	4	2	5	5	5	5	4	4	4	2	4	2	2	4	4	5	2	4	4	5	3	3	2	3	3	2	1	1973	1	1	3	14	41
4	2	4	1	5	4	4	4	5	5	4	1	5	3	4	4	5	4	2	5	4	4	4	5	4	4	3	4	2	4	4	4	5	5	2	4	4	4	1	4	4	4	2	3	2	2	2	1	2	2	2	1977	1	1	5	13	13
4	1	5	1	4	3	5	2	3	5	5	1	5	4	2	4	5	1	1	4	2	5	1	4	4	5	1	5	1	5	2	5	2	3	3	5	1	5	3	3	1	5	3	3	3	4	3	4	5	1	2	1939	2	1	2	7	42
3	3	4	2	4	3	5	3	3	4	3	1	5	3	4	4	5	2	4	4	3	5	1	3	4	4	1	4	3	4	2	5	4	3	1	5	3	4	1	4	1	4	3	3	3	1	3	4	5	1	2	1933	1	1	2	3	9
5	4	4	1	4	2	3	3	3	4	5	2	5	4	3	4	5	5	5	5	1	5	1	4	4	4	2	4	4	3	1	5	3	3	4	5	2	3	3	4	3	4	4	2	1	1	2	1	4	1	1	1943	1	1	3	6	9
4	1	5	1	5	5	5	1	5	5	4	4	5	5	5	5	1	1	3	5	5	1	1	5	5	4	5	5	3	3	3	5	5	5	3	5	3	5	3	5	3	5	5	3	2	2	3	4	4	1	2	1973	1	1	6	14	9
3	3	5	4	5	3	4	3	3	3	3	2	5	5	5	4	3	2	4	3	3	4	1	3	4	4	3	4	3	3	4	3	5	3	3	3	4	4	4	4	4	3	3	4	4	2	2	1	3	2	1	1969	2	4	3	10	9
5	4	5	1	5	2	5	4	4	5	5	2	5	4	5	5	5	4	3	3	2	4	2	5	5	3	3	5	4	5	2	5	5	4	4	5	2	4	4	2	1	4	5	5	3	3	2	1	4	1	2	1951	2	1	5	4	42
2	1	5	1	3	4	4	1	4	4	3	1	5	3	4	4	5	4	1	4	5	5	1	5	4	2	1	5	3	5	5	4	4	4	2	2	1	5	5	4	1	5	2	4	2	3	1	1	3	2	2	1954	2	1	3	7	37
2	3	5	1	5	5	5	1	5	5	1	1	5	1	5	3	3	1	1	5	5	2	1	5	5	5	2	5	1	1	3	5	5	5	3	3	1	5	1	3	3	3	1	3	4	4	3	1	5	1	2	1936	1	1	2	9	48
5	2	5	2	4	3	4	3	4	5	5	1	5	4	3	5	5	3	3	4	1	3	3	5	4	4	2	2	4	5	3	5	5	4	2	4	1	3	2	4	2	4	4	4	1	1	1	1	3	1	1	1966	2	2	5	10	30
5	3	5	1	5	4	5	4	4	5	4	1	5	4	5	5	4	4	2	5	2	4	4	5	5	5	4	4	4	5	1	5	5	5	3	5	4	4	1	5	5	5	4	2	2	1	3	2	3	1	1	1955	1	2	4	7	5
4	2	5	2	3	2	4	2	4	4	3	2	5	4	4	3	4	2	4	2	2	4	2	5	3	4	2	4	4	3	3	2	4	4	2	3	2	3	2	3	3	4	3	2	3	4	3	4	4	1	3	1939	2	1	2	3	5
5	2	5	1	5	1	5	4	2	5	4	1	5	4	4	5	5	5	1	4	1	5	2	5	4	4	1	5	1	5	1	5	5	4	1	5	4	5	2	5	2	5	5	4	3	4	3	4	5	1	2	1956	1	1	5	7	4
4	1	5	1	5	4	5	1	4	4	4	1	5	2	5	5	5	1	1	4	4	5	1	5	5	4	3	5	1	5	1	5	5	5	5	5	1	5	1	3	4	5	1	5	2	4	1	2	2	1	1	1960	2	2	3	7	10
4	2	5	1	5	3	4	2	4	5	4	1	5	4	4	4	1	4	4	5	3	4	1	5	4	4	2	4	2	4	1	4	4	4	2	5	2	5	1	4	4	4	2	3	2	2	3	2	4	1	2	1935	1	1	3	12	12
5	4	4	4	3	3	4	2	2	4	4	2	4	4	2	4	4	2	4	4	4	4	2	4	4	3	2	4	4	3	2	4	4	2	4	4	2	4	4	3	3	4	3	2	4	4	3	4	4	1	2	1963	1	1	2	6	9
1	3	4	1	4	5	5	1	3	5	3	1	5	4	3	3	5	4	5	5	5	4	2	5	5	4	4	5	2	4	4	4	4	4	4	3	2	5	3	4	3	4	2	2	2	1	1	1	3	1	1	1970	1	1	2	9	48
3	1	3	3	4	2	4	4	4	4	4	3	5	3	4	3	5	3	3	4	4	4	4	4	4	3	2	4	4	4	4	3	4	4	2	4	3	4	3	3	2	4	2	4	1	2	1	1	2	1	1	1951	1	1	5	14	46
3	4	4	3	4	4	4	2	3	3	3	2	5	4	4	4	4	2	4	4	4	4	2	4	4	4	3	4	3	4	3	4	4	4	3	4	2	4	3	4	4	4	2	3	3	4	2	2	4	1	1	1937	1	1	6	11	32
4	2	4	2	4	4	4	2	4	4	3	2	5	4	4	4	4	4	3	3	4	4	3	5	3	4	4	3	4	3	3	4	3	3	3	3	3	4	3	3	3	4	3	3	4	4	2	2	5	1	2	1959	2	3	3	3	9
5	4	4	1	5	3	4	4	4	5	4	3	5	2	5	4	3	5	1	5	1	5	4	5	4	5	3	3	2	4	3	4	4	5	3	5	4	2	2	5	2	4	2	4	4	1	3	4	5	1	2	1976	2	1	3	5	22
4	4	5	1	4	2	5	1	4	5	5	2	5	1	4	4	5	1	2	4	2	5	1	5	4	4	2	5	2	5	4	5	5	4	4	5	1	4	2	4	1	5	2	2	2	3	3	4	4	1	2	1956	1	1	2	10	45
4	3	4	1	4	4	4	4	4	3	3	1	5	4	2	5	5	4	3	4	4	4	2	5	2	2	1	5	2	4	4	4	4	4	4	4	2	4	2	4	3	4	2	2	3	1	2	1	3	1	1	1948	2	1	3	11	37
2	1	5	1	5	5	5	3	5	5	4	1	5	4	4	4	5	2	2	3	4	4	1	4	4	4	2	4	4	3	2	4	4	4	3	4	1	3	3	3	3	4	2	4	3	2	1	1	2	2	1	1953	2	2	4	6	10
3	3	4	1	3	3	5	4	4	3	3	1	5	3	2	3	5	2	2	3	4	5	2	4	2	3	3	4	3	3	3	4	4	5	3	3	3	3	2	3	5	4	3	2	3	3	3	4	4	1	2	1940	1	1	2	12	37
1	3	2	1	5	2	4	4	4	5	4	1	3	2	5	2	4	5	2	5	4	3	4	5	5	4	3	1	2	3	3	4	2	5	2	2	1	4	1	3	3	4	5	3	1	1	1	1	2	1	1	1973	1	4	1	12	46
2	4	2	3	4	5	4	4	4	4	3	1	5	4	3	2	4	4	2	4	5	4	2	2	2	1	3	3	4	5	5	5	4	4	3	3	1	4	4	4	1	5	4	4	3	4	2	3	5	2	1	1983	2	1	2	6	10
2	1	5	1	4	4	5	2	1	4	1	1	5	4	2	2	5	2	5	4	4	5	2	2	4	1	1	5	2	3	4	5	5	4	5	1	1	5	5	3	4	5	4	1	3	4	1	1	4	2	2	1956	2	1	2	6	47
3	3	4	1	5	4	5	3	5	5	5	2	5	2	5	5	5	2	1	5	3	4	3	5	5	4	3	5	1	3	3	5	4	5	1	4	2	4	1	5	5	3	3	1	3	1	3	4	5	1	2	1961	1	1	3	14	37
2	2	5	1	3	5	4	1	5	5	2	1	5	3	4	3	2	2	1	4	5	5	3	4	4	2	4	4	1	3	4	4	4	4	2	2	1	4	2	3	3	4	3	3	3	2	2	4	4	1	4	1931	1	1	6	5	43
2	2	5	2	4	2	4	2	4	5	4	2	5	4	4	4	2	2	2	4	2	4	2	4	4	4	4	5	4	5	2	4	4	4	4	4	4	4	1	4	2	4	2	4	2	1	1	1	2	1	2	1950	2	1	3	10	5
2	1	5	1	4	3	4	2	5	4	3	1	5	4	3	3	4	1	2	5	4	5	3	4	4	3	2	4	3	4	4	4	4	4	2	2	3	4	3	4	2	4	3	3	2	1	1	1	3	1	1	1941	1	1	2	6	37
2	2	4	2	3	1	4	4	4	5	2	5	5	2	4	3	5	4	2	3	4	5	4	5	3	3	1	3	2	3	4	5	4	4	3	4	2	5	3	5	3	5	4	3	2	1	1	1	1	1	1	1962	2	1	3	5	22
4	3	5	4	5	4	5	3	1	4	4	1	5	4	4	4	5	3	5	4	4	5	1	2	3	4	3	5	4	4	3	5	4	4	2	5	1	4	5	4	4	5	4	3	3	2	1	1	5	1	1	1957	2	1	2	1	34
2	1	5	1	5	4	4	1	5	5	5	1	5	1	5	5	5	1	1	5	4	5	1	5	3	5	1	5	1	5	1	5	4	5	1	5	1	5	1	4	4	5	1	4	3	2	1	1	3	1	1	1948	2	2	6	11	45
2	1	5	1	5	2	5	1	4	4	2	1	5	4	5	5	5	1	4	5	2	5	1	5	5	4	1	5	2	4	2	5	5	5	2	5	1	4	1	4	4	4	1	1	1	1	2	1	3	1	1	1958	1	2	3	11	32
2	2	5	4	5	5	5	4	4	3	1	3	5	4	4	4	5	4	1	4	5	5	4	5	4	2	2	4	4	3	5	5	4	4	5	1	2	4	2	4	5	5	4	3	4	4	3	3	5	1	2	1941	2	1	2	1	10
4	2	5	1	5	3	4	2	3	5	3	1	5	3	3	4	5	2	2	5	1	5	3	3	4	2	4	5	4	4	4	4	5	3	4	3	1	5	3	3	4	5	4	1	2	4	3	3	3	1	2	1938	2	1	2	8	9
5	4	5	3	4	2	3	2	2	5	4	4	5	4	4	3	2	5	4	2	2	4	1	3	3	4	4	4	4	4	2	3	4	2	1	4	4	4	4	4	4	2	4	3	2	1	2	1	2	1	1	1956	2	1	5	8	12
2	3	3	2	3	4	4	4	4	3	3	1	5	3	3	3	4	3	3	3	4	4	2	4	3	3	3	2	4	3	2	4	4	4	4	2	3	4	3	3	3	4	3	3	2	2	1	2	2	2	1	1927	1	1	1	6	37
1	1	4	3	4	4	4	4	4	4	3	1	5	3	3	4	4	4	3	4	4	4	2	4	4	2	2	4	2	4	4	4	4	4	1	4	2	4	3	4	3	4	2	4	1	3	1	2	4	1	2	1939	1	1	6	11	9
1	3	3	3	3	3	3	3	3	3	3	3	5	3	4	4	4	4	4	4	4	4	1	5	1	3	3	3	3	3	3	3	3	3	1	4	1	5	1	3	3	4	1	3	3	4	1	1	3	1	1	1951	1	4	3	4	32
5	4	4	3	3	4	4	2	2	5	3	1	5	4	5	4	4	3	5	5	2	3	4	4	4	2	3	3	4	5	3	3	5	4	4	4	2	2	3	5	1	4	4	5	2	1	2	1	3	1	1	1977	1	1	5	8	6
4	2	5	2	4	4	4	2	4	5	4	1	5	5	4	3	5	4	4	4	2	4	2	5	4	4	2	4	3	4	4	4	4	4	4	3	2	4	4	4	2	4	2	2	2	3	3	4	4	1	2	1976	2	1	6	12	42
4	3	4	1	5	1	4	4	5	5	5	2	4	2	5	5	4	5	1	5	2	4	2	5	5	4	4	2	4	5	2	4	2	5	1	4	4	2	2	4	1	4	5	5	1	1	2	1	1	1	1	1981	1	1	6	13	7
4	1	5	2	3	3	4	3	5	4	4	1	5	1	4	4	5	3	2	3	3	3	3	5	3	3	4	4	2	5	3	4	4	5	4	5	1	3	3	4	4	4	5	4	3	4	2	2	4	2	1	1976	2	2	5	7	9
1	1	5	5	2	5	4	4	4	4	2	1	5	1	4	2	5	5	2	2	5	5	3	4	2	2	4	4	4	4	5	5	5	4	4	2	1	4	2	5	4	5	4	4	3	1	1	1	1	1	1	1964	1	4	6	10	13
4	3	5	1	4	4	5	2	5	5	3	1	5	2	3	4	3	1	1	5	4	5	3	3	4	3	2	3	2	2	3	5	4	5	4	4	1	2	2	5	3	4	4	2	3	3	3	4	5	1	2	1963	1	4	3	11	36
4	1	5	1	5	2	5	1	4	5	5	1	5	2	5	5	5	4	1	5	2	5	1	5	5	2	1	5	4	4	4	5	5	4	1	4	1	4	4	4	4	4	4	4	4	4	2	3	5	1	2	1973	2	1	3	5	46
4	5	5	3	4	1	3	4	2	5	3	4	5	4	4	4	3	4	2	4	1	3	2	4	3	5	5	5	4	5	4	3	5	4	4	4	4	5	4	4	4	4	4	4	4	2	3	4	4	1	2	1983	1	1	5	4	9
5	2	5	1	5	3	5	1	2	2	2	1	5	2	5	5	5	2	1	5	2	5	1	4	5	4	3	5	1	5	4	5	5	5	2	2	1	3	1	5	5	5	3	1	2	1	1	4	1	2	1	1949	2	2	3	1	13
3	2	5	3	5	4	3	3	4	5	4	4	5	4	5	4	3	2	3	4	4	4	2	5	4	5	4	4	4	1	3	3	4	5	1	3	3	4	1	4	4	4	4	1	1	1	1	1	3	1	1	1938	1	1	3	11	9
5	2	5	1	4	5	5	1	4	5	5	2	5	4	4	5	5	1	2	3	2	4	1	5	4	5	2	5	2	3	1	5	5	4	4	5	2	5	3	4	4	5	2	2	3	4	3	3	4	1	2	1975	1	1	5	7	17
5	4	4	1	5	1	4	4	3	5	4	4	5	4	4	3	4	5	1	5	1	5	4	4	4	4	4	2	2	5	1	4	3	5	1	5	4	3	2	5	1	4	5	3	2	1	3	4	3	1	2	1976	1	1	3	7	9
4	2	5	2	3	3	5	1	2	4	2	2	4	3	4	5	5	1	4	2	3	4	2	3	4	2	3	5	4	2	2	4	4	4	4	4	3	4	2	4	4	5	1	5	2	2	3	4	3	1	2	1980	2	1	4	12	45
5	4	5	1	5	3	5	4	2	5	2	1	5	5	4	4	4	4	5	5	3	2	1	5	5	5	5	5	5	5	4	5	5	4	5	4	4	5	2	4	4	5	1	1	2	2	1	1	4	2	2	1954	2	1	5	5	25
